,Model,Dataset,Column_Filter,Col_Num,AUC,Recall,Precision,F1-Score,Best_Params,Start_Time,End_Time
24,spark_dt,X_train_dsample,"['totals_pageviews', 'totals_hits', 'totals_timeOnSite', 'geoNetwork_country_woe', 'totals_bounces', 'trafficSource_source_woe', 'totals_newVisits', 'channelGrouping_Referral', 'channelGrouping_Social', 'trafficSource_medium_referral', 'trafficSource_isTrueDirect_code', 'device_browser_woe', 'hits_hour_ordinal', 'device_operatingSystem_Macintosh', 'device_operatingSystem_Windows', 'device_deviceCategory_mobile', 'hits_eCommerceAction_action_type', 'device_operatingSystem_Chrome_OS', 'device_operatingSystem_Nintendo_Wii', 'channelGrouping_Organic Search', 'device_operatingSystem_Linux', 'device_operatingSystem_iOS', 'device_operatingSystem_Android', 'device_operatingSystem_Xbox', 'trafficSource_medium_affiliate', 'device_operatingSystem_Samsung', 'device_operatingSystem_BlackBerry', 'trafficSource_medium_organic', 'trafficSource_medium_cpc', 'device_operatingSystem_Windows_Phone', 'label']",31,0.9589377624760373,0.9710090361445783,0.933405718422005,0.9518361321276988,"{
	DecisionTreeClassifier_41fca20da5b7-cacheNodeIds: false,
	DecisionTreeClassifier_41fca20da5b7-checkpointInterval: 10,
	DecisionTreeClassifier_41fca20da5b7-featuresCol: features,
	DecisionTreeClassifier_41fca20da5b7-impurity: gini,
	DecisionTreeClassifier_41fca20da5b7-labelCol: label,
	DecisionTreeClassifier_41fca20da5b7-leafCol: ,
	DecisionTreeClassifier_41fca20da5b7-maxBins: 32,
	DecisionTreeClassifier_41fca20da5b7-maxDepth: 3,
	DecisionTreeClassifier_41fca20da5b7-maxMemoryInMB: 256,
	DecisionTreeClassifier_41fca20da5b7-minInfoGain: 0.01,
	DecisionTreeClassifier_41fca20da5b7-minInstancesPerNode: 1,
	DecisionTreeClassifier_41fca20da5b7-minWeightFractionPerNode: 0.0,
	DecisionTreeClassifier_41fca20da5b7-predictionCol: prediction,
	DecisionTreeClassifier_41fca20da5b7-probabilityCol: probability,
	DecisionTreeClassifier_41fca20da5b7-rawPredictionCol: rawPrediction,
	DecisionTreeClassifier_41fca20da5b7-seed: -2487988386210263844
}",1653964257.4040055,1653964675.7376914
26,spark_dt,X_train_dsample,"['totals_pageviews', 'totals_hits', 'totals_timeOnSite', 'geoNetwork_country_woe', 'totals_bounces', 'trafficSource_source_woe', 'totals_newVisits', 'channelGrouping_Social', 'channelGrouping_Referral', 'trafficSource_medium_referral', 'trafficSource_isTrueDirect_code', 'device_browser_woe', 'hits_hour_ordinal', 'device_operatingSystem_Macintosh', 'device_operatingSystem_Windows', 'hits_eCommerceAction_action_type', 'device_deviceCategory_mobile', 'device_operatingSystem_Chrome_OS', 'device_operatingSystem_iOS', 'channelGrouping_Organic Search', 'device_operatingSystem_Android', 'channelGrouping_Display', 'socialEngagementType', 'device_operatingSystem_Linux', 'trafficSource_medium_cpc', 'label']",26,0.9589377624760373,0.9710090361445783,0.933405718422005,0.9518361321276988,"{
	DecisionTreeClassifier_41fca20da5b7-cacheNodeIds: false,
	DecisionTreeClassifier_41fca20da5b7-checkpointInterval: 10,
	DecisionTreeClassifier_41fca20da5b7-featuresCol: features,
	DecisionTreeClassifier_41fca20da5b7-impurity: gini,
	DecisionTreeClassifier_41fca20da5b7-labelCol: label,
	DecisionTreeClassifier_41fca20da5b7-leafCol: ,
	DecisionTreeClassifier_41fca20da5b7-maxBins: 32,
	DecisionTreeClassifier_41fca20da5b7-maxDepth: 3,
	DecisionTreeClassifier_41fca20da5b7-maxMemoryInMB: 256,
	DecisionTreeClassifier_41fca20da5b7-minInfoGain: 0.01,
	DecisionTreeClassifier_41fca20da5b7-minInstancesPerNode: 1,
	DecisionTreeClassifier_41fca20da5b7-minWeightFractionPerNode: 0.0,
	DecisionTreeClassifier_41fca20da5b7-predictionCol: prediction,
	DecisionTreeClassifier_41fca20da5b7-probabilityCol: probability,
	DecisionTreeClassifier_41fca20da5b7-rawPredictionCol: rawPrediction,
	DecisionTreeClassifier_41fca20da5b7-seed: -2487988386210263844
}",1653964677.7466521,1653965078.6832933
28,spark_dt,X_train_dsample,"['totals_pageviews', 'totals_hits', 'totals_timeOnSite', 'geoNetwork_country_woe', 'totals_bounces', 'trafficSource_source_woe', 'label']",7,0.9589377624760373,0.9710090361445783,0.933405718422005,0.9518361321276988,"{
	DecisionTreeClassifier_41fca20da5b7-cacheNodeIds: false,
	DecisionTreeClassifier_41fca20da5b7-checkpointInterval: 10,
	DecisionTreeClassifier_41fca20da5b7-featuresCol: features,
	DecisionTreeClassifier_41fca20da5b7-impurity: gini,
	DecisionTreeClassifier_41fca20da5b7-labelCol: label,
	DecisionTreeClassifier_41fca20da5b7-leafCol: ,
	DecisionTreeClassifier_41fca20da5b7-maxBins: 32,
	DecisionTreeClassifier_41fca20da5b7-maxDepth: 3,
	DecisionTreeClassifier_41fca20da5b7-maxMemoryInMB: 256,
	DecisionTreeClassifier_41fca20da5b7-minInfoGain: 0.0,
	DecisionTreeClassifier_41fca20da5b7-minInstancesPerNode: 1,
	DecisionTreeClassifier_41fca20da5b7-minWeightFractionPerNode: 0.0,
	DecisionTreeClassifier_41fca20da5b7-predictionCol: prediction,
	DecisionTreeClassifier_41fca20da5b7-probabilityCol: probability,
	DecisionTreeClassifier_41fca20da5b7-rawPredictionCol: rawPrediction,
	DecisionTreeClassifier_41fca20da5b7-seed: -2487988386210263844
}",1653965080.9158592,1653965449.5118992
25,spark_dt,X_test_dsample,"['totals_pageviews', 'totals_hits', 'totals_timeOnSite', 'geoNetwork_country_woe', 'totals_bounces', 'trafficSource_source_woe', 'totals_newVisits', 'channelGrouping_Referral', 'channelGrouping_Social', 'trafficSource_medium_referral', 'trafficSource_isTrueDirect_code', 'device_browser_woe', 'hits_hour_ordinal', 'device_operatingSystem_Macintosh', 'device_operatingSystem_Windows', 'device_deviceCategory_mobile', 'hits_eCommerceAction_action_type', 'device_operatingSystem_Chrome_OS', 'device_operatingSystem_Nintendo_Wii', 'channelGrouping_Organic Search', 'device_operatingSystem_Linux', 'device_operatingSystem_iOS', 'device_operatingSystem_Android', 'device_operatingSystem_Xbox', 'trafficSource_medium_affiliate', 'device_operatingSystem_Samsung', 'device_operatingSystem_BlackBerry', 'trafficSource_medium_organic', 'trafficSource_medium_cpc', 'device_operatingSystem_Windows_Phone', 'label']",31,0.9585014347378231,0.9727767695099818,0.92894280762565,0.950354609929078,"{
	DecisionTreeClassifier_41fca20da5b7-cacheNodeIds: false,
	DecisionTreeClassifier_41fca20da5b7-checkpointInterval: 10,
	DecisionTreeClassifier_41fca20da5b7-featuresCol: features,
	DecisionTreeClassifier_41fca20da5b7-impurity: gini,
	DecisionTreeClassifier_41fca20da5b7-labelCol: label,
	DecisionTreeClassifier_41fca20da5b7-leafCol: ,
	DecisionTreeClassifier_41fca20da5b7-maxBins: 32,
	DecisionTreeClassifier_41fca20da5b7-maxDepth: 3,
	DecisionTreeClassifier_41fca20da5b7-maxMemoryInMB: 256,
	DecisionTreeClassifier_41fca20da5b7-minInfoGain: 0.01,
	DecisionTreeClassifier_41fca20da5b7-minInstancesPerNode: 1,
	DecisionTreeClassifier_41fca20da5b7-minWeightFractionPerNode: 0.0,
	DecisionTreeClassifier_41fca20da5b7-predictionCol: prediction,
	DecisionTreeClassifier_41fca20da5b7-probabilityCol: probability,
	DecisionTreeClassifier_41fca20da5b7-rawPredictionCol: rawPrediction,
	DecisionTreeClassifier_41fca20da5b7-seed: -2487988386210263844
}",1653964257.4040055,1653964675.7376914
27,spark_dt,X_test_dsample,"['totals_pageviews', 'totals_hits', 'totals_timeOnSite', 'geoNetwork_country_woe', 'totals_bounces', 'trafficSource_source_woe', 'totals_newVisits', 'channelGrouping_Social', 'channelGrouping_Referral', 'trafficSource_medium_referral', 'trafficSource_isTrueDirect_code', 'device_browser_woe', 'hits_hour_ordinal', 'device_operatingSystem_Macintosh', 'device_operatingSystem_Windows', 'hits_eCommerceAction_action_type', 'device_deviceCategory_mobile', 'device_operatingSystem_Chrome_OS', 'device_operatingSystem_iOS', 'channelGrouping_Organic Search', 'device_operatingSystem_Android', 'channelGrouping_Display', 'socialEngagementType', 'device_operatingSystem_Linux', 'trafficSource_medium_cpc', 'label']",26,0.9585014347378231,0.9727767695099818,0.92894280762565,0.950354609929078,"{
	DecisionTreeClassifier_41fca20da5b7-cacheNodeIds: false,
	DecisionTreeClassifier_41fca20da5b7-checkpointInterval: 10,
	DecisionTreeClassifier_41fca20da5b7-featuresCol: features,
	DecisionTreeClassifier_41fca20da5b7-impurity: gini,
	DecisionTreeClassifier_41fca20da5b7-labelCol: label,
	DecisionTreeClassifier_41fca20da5b7-leafCol: ,
	DecisionTreeClassifier_41fca20da5b7-maxBins: 32,
	DecisionTreeClassifier_41fca20da5b7-maxDepth: 3,
	DecisionTreeClassifier_41fca20da5b7-maxMemoryInMB: 256,
	DecisionTreeClassifier_41fca20da5b7-minInfoGain: 0.01,
	DecisionTreeClassifier_41fca20da5b7-minInstancesPerNode: 1,
	DecisionTreeClassifier_41fca20da5b7-minWeightFractionPerNode: 0.0,
	DecisionTreeClassifier_41fca20da5b7-predictionCol: prediction,
	DecisionTreeClassifier_41fca20da5b7-probabilityCol: probability,
	DecisionTreeClassifier_41fca20da5b7-rawPredictionCol: rawPrediction,
	DecisionTreeClassifier_41fca20da5b7-seed: -2487988386210263844
}",1653964677.7466521,1653965078.6832933
29,spark_dt,X_test_dsample,"['totals_pageviews', 'totals_hits', 'totals_timeOnSite', 'geoNetwork_country_woe', 'totals_bounces', 'trafficSource_source_woe', 'label']",7,0.9585014347378231,0.9727767695099818,0.92894280762565,0.950354609929078,"{
	DecisionTreeClassifier_41fca20da5b7-cacheNodeIds: false,
	DecisionTreeClassifier_41fca20da5b7-checkpointInterval: 10,
	DecisionTreeClassifier_41fca20da5b7-featuresCol: features,
	DecisionTreeClassifier_41fca20da5b7-impurity: gini,
	DecisionTreeClassifier_41fca20da5b7-labelCol: label,
	DecisionTreeClassifier_41fca20da5b7-leafCol: ,
	DecisionTreeClassifier_41fca20da5b7-maxBins: 32,
	DecisionTreeClassifier_41fca20da5b7-maxDepth: 3,
	DecisionTreeClassifier_41fca20da5b7-maxMemoryInMB: 256,
	DecisionTreeClassifier_41fca20da5b7-minInfoGain: 0.0,
	DecisionTreeClassifier_41fca20da5b7-minInstancesPerNode: 1,
	DecisionTreeClassifier_41fca20da5b7-minWeightFractionPerNode: 0.0,
	DecisionTreeClassifier_41fca20da5b7-predictionCol: prediction,
	DecisionTreeClassifier_41fca20da5b7-probabilityCol: probability,
	DecisionTreeClassifier_41fca20da5b7-rawPredictionCol: rawPrediction,
	DecisionTreeClassifier_41fca20da5b7-seed: -2487988386210263844
}",1653965080.9158592,1653965449.5118992
46,spark_rf,X_train_dsample,"['totals_pageviews', 'totals_hits', 'totals_timeOnSite', 'geoNetwork_country_woe', 'totals_bounces', 'trafficSource_source_woe', 'label']",7,0.9789676259085267,0.9873870481927711,0.9148787720216291,0.9497510185604346,"{
	RandomForestClassifier_1a6531193fe6-bootstrap: true,
	RandomForestClassifier_1a6531193fe6-cacheNodeIds: false,
	RandomForestClassifier_1a6531193fe6-checkpointInterval: 10,
	RandomForestClassifier_1a6531193fe6-featureSubsetStrategy: auto,
	RandomForestClassifier_1a6531193fe6-featuresCol: features,
	RandomForestClassifier_1a6531193fe6-impurity: gini,
	RandomForestClassifier_1a6531193fe6-labelCol: label,
	RandomForestClassifier_1a6531193fe6-leafCol: ,
	RandomForestClassifier_1a6531193fe6-maxBins: 32,
	RandomForestClassifier_1a6531193fe6-maxDepth: 3,
	RandomForestClassifier_1a6531193fe6-maxMemoryInMB: 256,
	RandomForestClassifier_1a6531193fe6-minInfoGain: 0.0,
	RandomForestClassifier_1a6531193fe6-minInstancesPerNode: 1,
	RandomForestClassifier_1a6531193fe6-minWeightFractionPerNode: 0.0,
	RandomForestClassifier_1a6531193fe6-numTrees: 40,
	RandomForestClassifier_1a6531193fe6-predictionCol: prediction,
	RandomForestClassifier_1a6531193fe6-probabilityCol: probability,
	RandomForestClassifier_1a6531193fe6-rawPredictionCol: rawPrediction,
	RandomForestClassifier_1a6531193fe6-seed: -6425694500934706945,
	RandomForestClassifier_1a6531193fe6-subsamplingRate: 1.0
}",1653966867.4577239,1653967313.5497224
44,spark_rf,X_train_dsample,"['totals_pageviews', 'totals_hits', 'totals_timeOnSite', 'geoNetwork_country_woe', 'totals_bounces', 'trafficSource_source_woe', 'totals_newVisits', 'channelGrouping_Social', 'channelGrouping_Referral', 'trafficSource_medium_referral', 'trafficSource_isTrueDirect_code', 'device_browser_woe', 'hits_hour_ordinal', 'device_operatingSystem_Macintosh', 'device_operatingSystem_Windows', 'hits_eCommerceAction_action_type', 'device_deviceCategory_mobile', 'device_operatingSystem_Chrome_OS', 'device_operatingSystem_iOS', 'channelGrouping_Organic Search', 'device_operatingSystem_Android', 'channelGrouping_Display', 'socialEngagementType', 'device_operatingSystem_Linux', 'trafficSource_medium_cpc', 'label']",26,0.9818586109562466,0.9851280120481928,0.9147002272330013,0.9486087192966555,"{
	RandomForestClassifier_1a6531193fe6-bootstrap: true,
	RandomForestClassifier_1a6531193fe6-cacheNodeIds: false,
	RandomForestClassifier_1a6531193fe6-checkpointInterval: 10,
	RandomForestClassifier_1a6531193fe6-featureSubsetStrategy: auto,
	RandomForestClassifier_1a6531193fe6-featuresCol: features,
	RandomForestClassifier_1a6531193fe6-impurity: gini,
	RandomForestClassifier_1a6531193fe6-labelCol: label,
	RandomForestClassifier_1a6531193fe6-leafCol: ,
	RandomForestClassifier_1a6531193fe6-maxBins: 32,
	RandomForestClassifier_1a6531193fe6-maxDepth: 3,
	RandomForestClassifier_1a6531193fe6-maxMemoryInMB: 256,
	RandomForestClassifier_1a6531193fe6-minInfoGain: 0.0,
	RandomForestClassifier_1a6531193fe6-minInstancesPerNode: 1,
	RandomForestClassifier_1a6531193fe6-minWeightFractionPerNode: 0.0,
	RandomForestClassifier_1a6531193fe6-numTrees: 20,
	RandomForestClassifier_1a6531193fe6-predictionCol: prediction,
	RandomForestClassifier_1a6531193fe6-probabilityCol: probability,
	RandomForestClassifier_1a6531193fe6-rawPredictionCol: rawPrediction,
	RandomForestClassifier_1a6531193fe6-seed: -6425694500934706945,
	RandomForestClassifier_1a6531193fe6-subsamplingRate: 1.0
}",1653966365.535077,1653966865.5726738
42,spark_rf,X_train_dsample,"['totals_pageviews', 'totals_hits', 'totals_timeOnSite', 'geoNetwork_country_woe', 'totals_bounces', 'trafficSource_source_woe', 'totals_newVisits', 'channelGrouping_Referral', 'channelGrouping_Social', 'trafficSource_medium_referral', 'trafficSource_isTrueDirect_code', 'device_browser_woe', 'hits_hour_ordinal', 'device_operatingSystem_Macintosh', 'device_operatingSystem_Windows', 'device_deviceCategory_mobile', 'hits_eCommerceAction_action_type', 'device_operatingSystem_Chrome_OS', 'device_operatingSystem_Nintendo_Wii', 'channelGrouping_Organic Search', 'device_operatingSystem_Linux', 'device_operatingSystem_iOS', 'device_operatingSystem_Android', 'device_operatingSystem_Xbox', 'trafficSource_medium_affiliate', 'device_operatingSystem_Samsung', 'device_operatingSystem_BlackBerry', 'trafficSource_medium_organic', 'trafficSource_medium_cpc', 'device_operatingSystem_Windows_Phone', 'label']",31,0.9810133288701939,0.9871987951807228,0.9118414188836724,0.948024948024948,"{
	RandomForestClassifier_1a6531193fe6-bootstrap: true,
	RandomForestClassifier_1a6531193fe6-cacheNodeIds: false,
	RandomForestClassifier_1a6531193fe6-checkpointInterval: 10,
	RandomForestClassifier_1a6531193fe6-featureSubsetStrategy: auto,
	RandomForestClassifier_1a6531193fe6-featuresCol: features,
	RandomForestClassifier_1a6531193fe6-impurity: gini,
	RandomForestClassifier_1a6531193fe6-labelCol: label,
	RandomForestClassifier_1a6531193fe6-leafCol: ,
	RandomForestClassifier_1a6531193fe6-maxBins: 32,
	RandomForestClassifier_1a6531193fe6-maxDepth: 3,
	RandomForestClassifier_1a6531193fe6-maxMemoryInMB: 256,
	RandomForestClassifier_1a6531193fe6-minInfoGain: 0.0,
	RandomForestClassifier_1a6531193fe6-minInstancesPerNode: 1,
	RandomForestClassifier_1a6531193fe6-minWeightFractionPerNode: 0.0,
	RandomForestClassifier_1a6531193fe6-numTrees: 40,
	RandomForestClassifier_1a6531193fe6-predictionCol: prediction,
	RandomForestClassifier_1a6531193fe6-probabilityCol: probability,
	RandomForestClassifier_1a6531193fe6-rawPredictionCol: rawPrediction,
	RandomForestClassifier_1a6531193fe6-seed: -6425694500934706945,
	RandomForestClassifier_1a6531193fe6-subsamplingRate: 1.0
}",1653965854.9298384,1653966363.5463834
45,spark_rf,X_test_dsample,"['totals_pageviews', 'totals_hits', 'totals_timeOnSite', 'geoNetwork_country_woe', 'totals_bounces', 'trafficSource_source_woe', 'totals_newVisits', 'channelGrouping_Social', 'channelGrouping_Referral', 'trafficSource_medium_referral', 'trafficSource_isTrueDirect_code', 'device_browser_woe', 'hits_hour_ordinal', 'device_operatingSystem_Macintosh', 'device_operatingSystem_Windows', 'hits_eCommerceAction_action_type', 'device_deviceCategory_mobile', 'device_operatingSystem_Chrome_OS', 'device_operatingSystem_iOS', 'channelGrouping_Organic Search', 'device_operatingSystem_Android', 'channelGrouping_Display', 'socialEngagementType', 'device_operatingSystem_Linux', 'trafficSource_medium_cpc', 'label']",26,0.9834959165154266,0.9891107078039928,0.9098497495826378,0.9478260869565218,"{
	RandomForestClassifier_1a6531193fe6-bootstrap: true,
	RandomForestClassifier_1a6531193fe6-cacheNodeIds: false,
	RandomForestClassifier_1a6531193fe6-checkpointInterval: 10,
	RandomForestClassifier_1a6531193fe6-featureSubsetStrategy: auto,
	RandomForestClassifier_1a6531193fe6-featuresCol: features,
	RandomForestClassifier_1a6531193fe6-impurity: gini,
	RandomForestClassifier_1a6531193fe6-labelCol: label,
	RandomForestClassifier_1a6531193fe6-leafCol: ,
	RandomForestClassifier_1a6531193fe6-maxBins: 32,
	RandomForestClassifier_1a6531193fe6-maxDepth: 3,
	RandomForestClassifier_1a6531193fe6-maxMemoryInMB: 256,
	RandomForestClassifier_1a6531193fe6-minInfoGain: 0.0,
	RandomForestClassifier_1a6531193fe6-minInstancesPerNode: 1,
	RandomForestClassifier_1a6531193fe6-minWeightFractionPerNode: 0.0,
	RandomForestClassifier_1a6531193fe6-numTrees: 20,
	RandomForestClassifier_1a6531193fe6-predictionCol: prediction,
	RandomForestClassifier_1a6531193fe6-probabilityCol: probability,
	RandomForestClassifier_1a6531193fe6-rawPredictionCol: rawPrediction,
	RandomForestClassifier_1a6531193fe6-seed: -6425694500934706945,
	RandomForestClassifier_1a6531193fe6-subsamplingRate: 1.0
}",1653966365.535077,1653966865.5726738
47,spark_rf,X_test_dsample,"['totals_pageviews', 'totals_hits', 'totals_timeOnSite', 'geoNetwork_country_woe', 'totals_bounces', 'trafficSource_source_woe', 'label']",7,0.9785555746308923,0.9872958257713249,0.9066666666666666,0.9452649869678541,"{
	RandomForestClassifier_1a6531193fe6-bootstrap: true,
	RandomForestClassifier_1a6531193fe6-cacheNodeIds: false,
	RandomForestClassifier_1a6531193fe6-checkpointInterval: 10,
	RandomForestClassifier_1a6531193fe6-featureSubsetStrategy: auto,
	RandomForestClassifier_1a6531193fe6-featuresCol: features,
	RandomForestClassifier_1a6531193fe6-impurity: gini,
	RandomForestClassifier_1a6531193fe6-labelCol: label,
	RandomForestClassifier_1a6531193fe6-leafCol: ,
	RandomForestClassifier_1a6531193fe6-maxBins: 32,
	RandomForestClassifier_1a6531193fe6-maxDepth: 3,
	RandomForestClassifier_1a6531193fe6-maxMemoryInMB: 256,
	RandomForestClassifier_1a6531193fe6-minInfoGain: 0.0,
	RandomForestClassifier_1a6531193fe6-minInstancesPerNode: 1,
	RandomForestClassifier_1a6531193fe6-minWeightFractionPerNode: 0.0,
	RandomForestClassifier_1a6531193fe6-numTrees: 40,
	RandomForestClassifier_1a6531193fe6-predictionCol: prediction,
	RandomForestClassifier_1a6531193fe6-probabilityCol: probability,
	RandomForestClassifier_1a6531193fe6-rawPredictionCol: rawPrediction,
	RandomForestClassifier_1a6531193fe6-seed: -6425694500934706945,
	RandomForestClassifier_1a6531193fe6-subsamplingRate: 1.0
}",1653966867.4577239,1653967313.5497224
43,spark_rf,X_test_dsample,"['totals_pageviews', 'totals_hits', 'totals_timeOnSite', 'geoNetwork_country_woe', 'totals_bounces', 'trafficSource_source_woe', 'totals_newVisits', 'channelGrouping_Referral', 'channelGrouping_Social', 'trafficSource_medium_referral', 'trafficSource_isTrueDirect_code', 'device_browser_woe', 'hits_hour_ordinal', 'device_operatingSystem_Macintosh', 'device_operatingSystem_Windows', 'device_deviceCategory_mobile', 'hits_eCommerceAction_action_type', 'device_operatingSystem_Chrome_OS', 'device_operatingSystem_Nintendo_Wii', 'channelGrouping_Organic Search', 'device_operatingSystem_Linux', 'device_operatingSystem_iOS', 'device_operatingSystem_Android', 'device_operatingSystem_Xbox', 'trafficSource_medium_affiliate', 'device_operatingSystem_Samsung', 'device_operatingSystem_BlackBerry', 'trafficSource_medium_organic', 'trafficSource_medium_cpc', 'device_operatingSystem_Windows_Phone', 'label']",31,0.981900230539069,0.9872958257713249,0.9036544850498339,0.9436253252385083,"{
	RandomForestClassifier_1a6531193fe6-bootstrap: true,
	RandomForestClassifier_1a6531193fe6-cacheNodeIds: false,
	RandomForestClassifier_1a6531193fe6-checkpointInterval: 10,
	RandomForestClassifier_1a6531193fe6-featureSubsetStrategy: auto,
	RandomForestClassifier_1a6531193fe6-featuresCol: features,
	RandomForestClassifier_1a6531193fe6-impurity: gini,
	RandomForestClassifier_1a6531193fe6-labelCol: label,
	RandomForestClassifier_1a6531193fe6-leafCol: ,
	RandomForestClassifier_1a6531193fe6-maxBins: 32,
	RandomForestClassifier_1a6531193fe6-maxDepth: 3,
	RandomForestClassifier_1a6531193fe6-maxMemoryInMB: 256,
	RandomForestClassifier_1a6531193fe6-minInfoGain: 0.0,
	RandomForestClassifier_1a6531193fe6-minInstancesPerNode: 1,
	RandomForestClassifier_1a6531193fe6-minWeightFractionPerNode: 0.0,
	RandomForestClassifier_1a6531193fe6-numTrees: 40,
	RandomForestClassifier_1a6531193fe6-predictionCol: prediction,
	RandomForestClassifier_1a6531193fe6-probabilityCol: probability,
	RandomForestClassifier_1a6531193fe6-rawPredictionCol: rawPrediction,
	RandomForestClassifier_1a6531193fe6-seed: -6425694500934706945,
	RandomForestClassifier_1a6531193fe6-subsamplingRate: 1.0
}",1653965854.9298384,1653966363.5463834
11,spark_lr,X_test_dsample,"['totals_pageviews', 'totals_hits', 'totals_timeOnSite', 'geoNetwork_country_woe', 'totals_bounces', 'trafficSource_source_woe', 'label']",7,0.9819523470839259,0.9963702359346642,0.8784,0.9336734693877551,"{
	LogisticRegression_8f64083d5464-aggregationDepth: 2,
	LogisticRegression_8f64083d5464-elasticNetParam: 0.0,
	LogisticRegression_8f64083d5464-family: auto,
	LogisticRegression_8f64083d5464-featuresCol: features,
	LogisticRegression_8f64083d5464-fitIntercept: true,
	LogisticRegression_8f64083d5464-labelCol: label,
	LogisticRegression_8f64083d5464-maxBlockSizeInMB: 0.0,
	LogisticRegression_8f64083d5464-maxIter: 100000,
	LogisticRegression_8f64083d5464-predictionCol: prediction,
	LogisticRegression_8f64083d5464-probabilityCol: probability,
	LogisticRegression_8f64083d5464-rawPredictionCol: rawPrediction,
	LogisticRegression_8f64083d5464-regParam: 1.0,
	LogisticRegression_8f64083d5464-standardization: true,
	LogisticRegression_8f64083d5464-threshold: 0.5,
	LogisticRegression_8f64083d5464-tol: 1.0E-6
}",1653963703.7539515,1653963928.7842
